0,睡神中签,嘿，睡神，瞅什么瞅，说你呢，上课睡觉，上班睡觉，回家睡觉，走路也梦游，你这辈子就跟睡觉卯上了。送你一计：请随身携带U形枕
1,笑神上签,有句话叫“爱笑的女孩运气都不会太差”，恭喜你，至少你看起来乐乐呵呵人畜无害，走在大街上也不会窜出疯狗来咬你。你说你是男孩？不可能！即使你披着男性的外表，也不能掩饰你充满母性的内在。送你一计：看电影时最好配一个声音大的音箱，这样不至于因为自己的笑声而听不见电影台词。
2,超脱帝中签,你时常让自己放下，除了理想你放下了什么？你时常让自己不在意，体重颜值，你有哪个不在意？超脱帝是思想的混乱者，站在现实与理想的夹缝之间，进退不能。送你一计：多照照镜子，你会发现自己的眼神里还是藏着许多渴望。
3,霉神下签,百年难得一见的骨骼精奇者，一道黑气从你的天灵盖喷出，直射倒霉神所住三十三天外之处，常年走路踩X，撞玻璃，下雨没带伞，吃饭没带碗，把生活过成了冒险岛模式。最可耐的是，你的倒霉竟然会传染！送你一技：走楼梯时要低头看路，睡前要仔细检查煤气，为了身边爱看你笑话的小人，请务必保重身体呐！
4,宅神上签,出门只剩下三个理由：1、为了吸一口最新鲜最原汁原味的雾霾。2、麻麻让我下楼丢垃圾。3、换个地方自拍。外面的世界太险恶了，初音，你说是不是？送你一计：有一天，你突然发现身边好像少了什么东西，请记得及时告知，鄙人可提供最专业的媒婆。
5,穷神下下签,二十一世纪最可怕的是什么？没错，就是“穷”，一碗泡面要分成两餐吃，一条底裤能穿个十年。穷是顽固的疟疾，也是种伟大的精神状态，试问，有谁能就着广场美女啃窝头，有谁能将2015活成1995？向坚守人类底线的同志致敬！送你一计：超越这里有一本书，《论穷鬼装B的十大技巧》，请问施主是否有需要？
6,萌神上上签,过去的几年里，萌神这种生物在华夏大陆上开枝散叶，迅速繁衍，据有关报道，该种生物具有魅惑的天赋属性，在不远的未来，数量将有一次爆炸式增加，届时，地球雌性社会将形成萌、熟、御三足鼎立的态势。送你一计：记住一句话，萌得好是神，萌不好是婊。
7,美神上签,长得好看不是你的错，自拍炫耀就是你的错了。你有考虑过我们这群长成歪瓜裂枣般人的感受么？别再秀大长腿了，别再秀白皮肤了，别再秀美照了！这种不顾他人感受，肆意而为的行为不符合中华民族的传统美德！这是恶习！是人性的丑陋！是历史的倒退！送你一计：年轻是最丰满的本钱，秀色可餐，趁自己味道最好的时候赶紧结婚吧。
8,富神中签,宁愿坐在宝马里哭的姑娘有很多，宁愿帮你开宝马的汉纸也有很多。对于你而言，工作不叫工作，叫视察。送你一计：多看书，至少要知道范蠡和沈万三是怎么死的。
9,逗神上上签,嘿，逗比你好，仰慕你好久了，一直不理解为何一个人的智商可以成负数，一直不理解为何你的世界构造能够那般奇特，年轻的樵夫啊，你掉的是金斧头还是银斧头，原来你掉的不是斧头，是智商。送你一计：不要因为别人的吐槽而改变，如果能迷糊，就一辈子迷糊下去。
